taxa,Env,DON_ppm,Vibe,Manual,Visual,NIR
GA14438LDH.133.19LE23,FSC20,NA,NA,NA,30,51
GA14438LDH.133.19LE23,WLA20,NA,21.14,25.22522523,30,42
GA14438LDH.18LE31,FSC19,59.44,64.38,20.2,40,70
GA14438LDH.18LE31,FSC19,33.96,46.61,27.9,25,35
GA151254.LDH071..19E32,FSC20,NA,NA,NA,5,34
GA151254.LDH071..19E32,WLA20,NA,14.51,16.59959759,25,48
GA151254.LDH130..19E34,FSC20,NA,NA,NA,45,35
GA151254.LDH130..19E34,WLA20,NA,21.05,28.88665998,30,59
GA151313.LDH127.19E36,FSC20,NA,19.7,7.92,10,45
GA151313.LDH127.19E36,FSC20,NA,NA,5.75,5,33
GA151313.LDH127.19E36,FSC20,NA,NA,NA,10,36
GA151313.LDH127.19E36,WLA20,NA,23.51,15.43895055,10,45
GA151313.LDH224.19E38,FSC20,NA,6.84,0.8,10,39
GA151313.LDH224.19E38,FSC20,NA,NA,2,5,38
GA151313.LDH224.19E38,FSC20,NA,NA,NA,5,35
GA151313.LDH224.19E38,WLA20,NA,13.01,16.93386774,20,59
GA15328.18E52F,FSC19,15.44,18.98,3.5,10,44
GA15328.18E52F,FSC19,9.8,18.72,2.7,15,75
GA15328.18E52F,FSC20,NA,4.04,2.42,5,28
GA15328.18E52F,FSC20,NA,NA,11.28,15,25
GA15VDH.FHB.MAS22.18ESC.41F,FSC19,5.12,22.08,5.1,5,32
GA15VDH.FHB.MAS22.18ESC.41F,FSC20,NA,NA,7.2,5,41
GA15VDH.FHB.MAS22.18ESC.41F,WLA20,NA,18.89,16.73346693,30,65
GA15VDH.FHB.MAS22.18ESC.41F,WLA20,NA,22.42,16.21621622,5,56
GA15VDH.FHB.MAS23.18LE43F,FSC19,6.24,10.29,2.2,5,51
GA15VDH.FHB.MAS23.18LE43F,FSC19,4.56,11.19,3,5,12
GA15VDH.FHB.MAS23.18LE43F,FSC20,NA,NA,1.8,5,32
GA15VDH.FHB.MAS23.18LE43F,FSC20,NA,NA,NA,5,28
GA15VDH.FHB.MAS23.18LE43F,WLA20,NA,4.39,3.306613226,1,61
GA15VDH.FHB.MAS23.18LE43F,WLA20,NA,6,5.23138833,5,64
GA15VDH.FHB.MAS23.18LE45F,FSC20,NA,NA,NA,5,37
GA15VDH.FHB.MAS23.18LE45F,WLA20,NA,7.87,7.9,5,63
GA15VDH.FHB.MAS23.18LE45F,WLA20,NA,5.47,3.006012024,1,63
GA15VDH.FHB.MAS27.07ADH33F,FSC20,NA,NA,10.3,15,37
GA15VDH.FHB.MAS27.07ADH33F,WLA20,NA,8.6,14.62925852,15,61
GA15VDH.FHB.MAS27.07ADH33F,WLA20,NA,5.08,6.786427146,15,60
GA15VDH.FHB.MAS27.18ADH33F,FSC19,23.68,22.71,10.2,25,58
GA15VDH.FHB.MAS30.18EDH29F,FSC19,23.12,31.73,12.5,20,60
GA15VDH.FHB.MAS30.18EDH29F,FSC19,9.72,23.41,9.2,10,21
GA15VDH.FHB.MAS30.18ESC43F,FSC19,12.8,28.72,5.5,15,50
GA15VDH.FHB.MAS30.18ESC43F,FSC19,10.48,17.93,4.7,10,63
GA15VDH.FHB.MAS30.18ESC43F,FSC20,NA,NA,1.5,10,35
GA15VDH.FHB.MAS30.18ESC43F,FSC20,NA,NA,18.5,15,39
GA15VDH.FHB.MAS30.18ESC43F,WLA20,NA,19.83,11.04417671,10,61
GA15VDH.FHB.MAS30.18ESC43F,WLA20,NA,16.54,9.53815261,10,58
GA15VDH.FHB.MAS33.18LE46,FSC19,16.4,45.4,9.4,25,48
GAFHBMAS14031.201,FSC20,NA,0,NA,5,32
GAFHBMAS14031.201,FSC20,NA,7.21,2.68,5,39
GAFHBMAS14031.201,FSC20,NA,12.38,4.96,5,39
GAFHBMAS14031.201,WLA20,NA,22.4,31.79538616,40,61
GANC12642.12.19LE16,FSC20,NA,7.69,1.57,10,45
GANC12642.12.19LE16,FSC20,NA,5.52,15.98,45,56
GANC12642.12.19LE16,FSC20,NA,NA,NA,10,40
GANC12642.12.19LE16,WLA20,NA,8.61,11.01101101,30,61
HILLIARD,FSC19,29.36,16.55,6,10,95
HILLIARD,FSC19,27.48,25.54,11.2,20,82
HILLIARD,FSC19,19.6,20.37,8.6,15,72
HILLIARD,FSC19,18.36,20.22,5.4,15,67
HILLIARD,FSC19,6.8,21.22,13.1,10,60
HILLIARD,FSC20,NA,NA,2.9,25,42
HILLIARD,FSC20,NA,NA,NA,15,51
HILLIARD,FSC20,NA,NA,6.8,25,46
HILLIARD,FSC20,NA,NA,NA,20,42
HILLIARD,FSC20,NA,NA,NA,10,44
HILLIARD,WLA20,NA,5.96,11.01101101,15,63
HILLIARD,WLA20,NA,5.39,7.407407407,5,59
HILLIARD,WLA20,NA,5.26,7.51503006,10,55
HILLIARD,WLA20,NA,6,6.606606607,10,63
HILLIARD,WLA20,NA,3.74,5.7,5,58
JAMESTOWN,FSC19,7.48,7.58,4,5,50
JAMESTOWN,FSC19,6.32,9.66,2.3,5,45
JAMESTOWN,FSC19,6.24,13.08,3.6,10,53
JAMESTOWN,FSC19,5.08,9.07,3.4,5,50
JAMESTOWN,FSC20,NA,5.74,1.38,NA,40
JAMESTOWN,FSC20,NA,5.79,0.4,10,43
JAMESTOWN,FSC20,NA,NA,7.8,10,40
JAMESTOWN,FSC20,NA,NA,NA,NA,NA
JAMESTOWN,WLA20,NA,12.76,8.534136546,5,54
JAMESTOWN,WLA20,NA,11.08,8.116232465,5,53
JAMESTOWN,WVA19,4.44,17.04,11.11,5,59
JAMESTOWN,WVA19,0.88,10.75,6.72,5,43
KWS202,FSC19,18.32,19.23,7.6,10,65
KWS202,FSC19,17.96,14.09,6.6,15,52
KWS202,FSC19,10.32,14.1,6,10,53
KWS202,FSC19,7.52,11.15,6.37,5,57
KWS202,WVA19,11.96,29.92,13.87,15,37
KWS202,WVA19,5.76,35.29,23.69,20,53
KWS207,FSC19,37.88,23.87,8.4,25,72
KWS207,FSC19,32.8,22.09,10.5,20,78
KWS207,WVA19,11.6,38.27,12.92,20,53
KWS207,WVA19,3.52,22.01,10.43,25,58
KWS216,FSC20,NA,NA,7.75,15,42
KWS216,FSC20,NA,NA,8.25,15,46
KWS219,FSC19,8.88,8.85,9.5,5,45
KWS219,FSC19,8.12,6.2,3.2,5,44
KWS219,WVA19,3.96,8.92,4.77,5,33
KWS219,WVA19,2.48,19.28,8.67,5,50
KWS238,FSC20,NA,NA,5.84,25,64
KWS238,FSC20,NA,NA,9.01,20,65
KWS238,FSC20,NA,NA,NA,60,59
KWS238,FSC20,NA,NA,NA,35,60
KWS238,WLA20,NA,2.84,2.409638554,1,65
KWS238,WLA20,NA,3.08,3.911735206,1,62
KWS240,FSC19,30.76,30.14,10.1,10,72
KWS240,FSC19,30.36,16.7,10.5,20,60
KWS240,FSC19,22.12,15.79,11.7,15,68
KWS240,FSC19,7.48,13.58,4.14,5,65
KWS240,WVA19,12.08,24.16,24.07,35,52
KWS240,WVA19,4,27.99,19.75,35,72
KWS242,FSC19,8.32,9.44,5.52,10,68
KWS242,FSC19,5.24,5.83,2.8,10,51
KWS242,WVA19,6.2,21.57,16.46,10,60
KWS242,WVA19,2.08,11.46,10.26,10,51
KWS246,FSC20,NA,NA,11.1,20,51
KWS246,FSC20,NA,NA,6.37,20,47
KWS246,FSC20,NA,NA,NA,40,47
KWS246,FSC20,NA,NA,NA,20,37
KWS246,FSC20,NA,NA,NA,25,35
KWS246,WLA20,NA,3.03,3.503503504,1,59
KWS246,WLA20,NA,2.63,3.503503504,1,57
KWS263,FSC20,NA,9.25,1.39,15,31
KWS263,FSC20,NA,NA,3.26,5,36
KWS263,FSC20,NA,NA,NA,20,33
KWS333,FSC20,NA,4.67,7.54,10,54
KWS333,FSC20,NA,NA,4.69,45,59
KWS333,FSC20,NA,NA,4.9,55,46
KWS333,FSC20,NA,NA,NA,10,44
KWS333,WLA20,NA,2.58,1.004016064,1,63
KWS333,WLA20,NA,3.04,0.7,1,62
LA07133CW.P4.29.2,FSC19,17.12,30.5,8.9,20,60
LA07133CW.P4.29.2,FSC19,5.48,17.84,3.6,5,30
LA08080C.31.1,FSC19,38.36,40.46,24,30,70
LA08080C.31.1,FSC19,35.6,45.05,24.4,40,68
LA08080C.31.1,WVA19,12.56,39.03,27.42,60,67
LA08080C.31.1,WVA19,6.72,31.2,22.92,50,87
LA08281C.P4.3.1,FSC19,85.32,85.89,95.3,75,103
LA08281C.P4.3.1,FSC19,36.84,57.76,34.8,50,58
LA09225C.33.3,FSC19,18.64,20.78,8.7,30,61
LA09225C.33.3,FSC19,14.56,32.1,10.17,20,65
LA10191C.1,FSC19,12.48,16.1,7.3,10,49
LA11075SB.25.2,FSC19,37.12,50.15,18.9,40,63
LA11260C.17.1,FSC19,21.84,31.24,9.7,20,57
LA11260C.17.1,FSC19,18.28,40.25,8.9,25,62
LA12080LDH.122,FSC19,25.84,33.71,13.1,25,53
LA12080LDH.72,FSC19,18.2,28.91,12.6,25,61
LA12080LDH.72,FSC19,12.68,18.12,6.7,20,51
LA12080LDH.72,FSC20,NA,NA,7.9,5,31
LA12080LDH.72,FSC20,NA,NA,NA,35,NA
LA12080LDH.72,FSC20,NA,NA,3.7,0,27
LA12080LDH.72,WLA20,NA,11.12,7.407407407,15,58
LA12080LDH.72,WLA20,NA,7.3,5.823293173,5,55
LA12275DH.56,FSC19,32.2,41.28,13.2,25,72
LA12275DH.56,FSC19,9.16,18.54,7.92,10,43
LA12275DH.56,FSC20,NA,NA,NA,NA,NA
LA12275DH.56,FSC20,NA,NA,NA,15,57
LA12275DH.56,FSC20,NA,NA,NA,NA,NA
LA12275DH.56,WLA20,NA,12.45,12.0240481,10,79
LA12275DH.56,WLA20,NA,13.01,9.009009009,10,76
LA13045D.173,FSC20,NA,4.94,0.4,10,43
LA13045D.173,FSC20,NA,3.63,0.99,5,52
LA13045D.80,FSC20,NA,NA,3.66,10,47
LA13045D.80,FSC20,NA,NA,2.28,5,42
LA13082D.WN25.3,FSC20,NA,NA,NA,0,38
LA13082D.WN25.3,WLA20,NA,16.36,25.12562814,25,53
LA13084D.WN14.2,FSC20,NA,NA,NA,20,43
LA13084D.WN14.2,WLA20,NA,24.69,35.23523524,65,51
LA13098D.WN10.4,FSC20,NA,NA,NA,5,40
LA13098D.WN10.4,WLA20,NA,9.58,13.81048387,20,39
LA13148D.WN26.3,FSC20,NA,NA,NA,10,37
LA13148D.WN26.3,WLA20,NA,12.71,18.5,25,48
LA13154D.WN1,FSC19,30.24,32.13,15.3,30,58
LA13154D.WN1,FSC19,29.6,41.58,93.3,35,94
LA13154D.WN1,FSC20,NA,NA,NA,15,33
LA13154D.WN1,WLA20,NA,14.17,14.02805611,20,66
LA13154D.WN1,WLA20,NA,9.61,13.66834171,10,65
LA13181D.151A,FSC20,NA,7.84,2.5,20,43
LA13181D.151A,FSC20,NA,NA,1.38,15,34
LA13197SC.46,FSC19,40.2,53.11,22.3,45,51
LA13197SC.46,FSC19,31.36,37.95,23.6,45,41
LA13197SC.46,WVA19,17.56,40.42,26.27,55,50
LA13197SC.46,WVA19,10.92,29.29,17.44,45,56
LA13235DH.19,FSC19,32.04,52.26,24.4,45,62
LA13235DH.19,FSC19,30.24,53.85,16.4,45,77
LA13235LDH.70,FSC19,28.4,40.74,14.7,35,58
LA13235LDH.70,FSC19,16.92,38.27,11.3,35,44
LA14076LDH.217,FSC19,34.76,62.39,16.3,35,55
LA14076LDH.217,FSC19,33.04,46.28,15.9,35,65
LA14086LDH.172,FSC20,NA,NA,7.8,5,18
LA14086LDH.172,WLA20,NA,12.42,11.48036254,45,54
LA14086LDH.172,WLA20,NA,9.15,9.558823529,10,48
LA14101LDH.12A,FSC20,NA,NA,12.4,20,50
LA14101LDH.12A,WLA20,NA,26.76,36.4551863,70,62
LA14101LDH.152,FSC19,18.72,47.66,20.2,25,47
LA14151SC.93,FSC20,NA,NA,14.5,15,53
LA14151SC.93,WLA20,NA,8.22,8.324974925,15,60
LA15015.LDH016,FSC20,NA,NA,NA,5,23
LA15015.LDH016,WLA20,NA,12.41,13.64092277,20,46
LA15166.LDH029,FSC19,26.64,30.47,14.1,20,61
LA15166.LDH029,FSC19,11.88,22.92,11.1,15,32
LA15166.LDH154,FSC19,33.6,31.36,10.8,10,57
LA15166.LDH154,FSC19,18.04,20.26,6.44,15,58
LA15166.LDH215,FSC19,32.28,44.58,25.4,NA,51
LA15166.LDH215,FSC19,25.44,45.1,14.8,35,54
LA15166.LDH272,FSC19,20,26.91,21.06,20,36
LA15166.LDH296,FSC20,NA,4.37,6.02,15,50
LA15166.LDH296,FSC20,NA,NA,6.35,15,48
LA15166.LDH296,FSC20,NA,NA,5.7,10,49
LA15166.LDH296,WLA20,NA,2.6,4.291417166,10,43
LA15203.LDH053,FSC19,34.4,41.14,22.5,30,68
LA15203.LDH053,FSC19,15.44,30.9,15.2,20,48
LA15203.LDH070,FSC20,NA,NA,NA,15,38
LA15203.LDH070,WLA20,NA,12.02,21.46439318,25,54
LA15203.LDH075,FSC20,NA,10.85,2.41,25,60
LA15203.LDH075,FSC20,NA,8.02,16.82,20,61
LA15203.LDH075,FSC20,NA,NA,NA,10,55
LA15203.LDH075,WLA20,NA,8.94,13.01301301,5,68
LA15203.LDH093,FSC20,NA,NA,NA,15,38
LA15203.LDH093,WLA20,NA,8.15,8.056394763,15,66
LA15203.LDH093,WLA20,NA,7.34,8.324974925,10,67
LA15203.LDH112,FSC19,21.6,27.08,10.9,20,73
LA15203.LDH112,FSC19,19.48,11.45,10.1,10,50
LA15203.LDH112,FSC19,16.92,10.46,6.4,10,48
LA15203.LDH112,FSC19,14.8,20.88,5.3,15,54
LA15203.LDH112,FSC20,NA,NA,1.5,15,46
LA15203.LDH112,FSC20,NA,NA,NA,25,36
LA15203.LDH112,WLA20,NA,3.95,2.104208417,1,60
LA15203.LDH112,WLA20,NA,3.69,5.728643216,1,62
LA15203.LDH112,WVA19,9,21.45,18.36,15,60
LA15203.LDH112,WVA19,4.28,21.47,14.58,20,57
LA15203.LDH115,FSC19,49.4,39.19,19.6,30,80
LA15203.LDH115,FSC19,46.08,48.36,21.2,60,75
LA15203.LDH146,FSC20,NA,NA,NA,NA,NA
LA15203.LDH146,WLA20,NA,14.76,19.18081918,20,43
LA15203.LDH200,FSC20,NA,NA,NA,0,38
LA15203.LDH200,WLA20,NA,3.74,3.309929789,5,61
LA15203.LDH200,WLA20,NA,1.77,2.702702703,5,64
LA15203.LDH263,FSC20,NA,0.85,NA,5,47
LA15203.LDH263,WLA20,NA,14.26,14.28571429,20,43
LA15203.LDH274,FSC20,NA,NA,NA,5,31
LA15203.LDH274,WLA20,NA,13.36,13.65461847,15,51
LA15203.LDH274,WLA20,NA,9.4,13.22645291,10,56
LA15VDH.FHB.MAS08.16,FSC19,23.72,25,15.2,30,60
LA15VDH.FHB.MAS08.16,FSC19,9.4,13.83,8,15,38
LA15VDH.FHB.MAS08.17,FSC19,11.12,19.9,3.7,20,40
LA15VDH.FHB.MAS10.16,FSC19,7.08,10.54,3.56,20,70
LA15VDH.FHB.MAS10.16,FSC19,6.72,11.7,2.7,15,44
LA15VDH.FHB.MAS10.16,FSC20,NA,8.19,2.19,5,42
LA15VDH.FHB.MAS10.16,FSC20,NA,NA,2.4,15,37
LA15VDH.FHB.MAS10.16,WVA19,3.56,15.11,3.46,10,38
LA15VDH.FHB.MAS10.16,WVA19,0.72,16.48,3.49,5,43
LA15VDH.FHB.MAS10.18,FSC19,18.12,12.78,19.8,10,62
LA15VDH.FHB.MAS10.18,FSC19,9.96,15.52,3.9,10,57
LA15VDH.FHB.MAS10.18,WVA19,3.16,7.55,5.09,0,63
LA15VDH.FHB.MAS10.18,WVA19,1.92,4.78,2.42,5,58
LA15VDH.FHB.MAS40.04.2,FSC20,NA,NA,NA,5,37
LA15VDH.FHB.MAS40.04.2,WLA20,NA,5.48,9.719438878,10,79
LA16020LDH.22,FSC20,NA,NA,1.9,5,33
LA16020LDH.22,WLA20,NA,11.05,12.75100402,10,43
LANC11558.33,FSC20,NA,NA,NA,10,42
LANC11558.33,WLA20,NA,4.78,8.908908909,10,63
LANC11558.33,WLA20,NA,3.77,6.4,5,57
LANC9337.40.2,FSC19,25.84,36.19,11.5,20,58
LANC9337.40.2,FSC19,15.2,19.36,8.2,20,48
LANC9337.63.4,FSC20,NA,12.15,3.55,5,42
LANC9337.63.4,FSC20,NA,6.5,2.9,5,44
LANC9337.63.4,FSC20,NA,NA,6.2,5,49
LANC9337.63.4,WLA20,NA,21.34,25.57673019,60,56
LANCDH11558.109,FSC19,23.56,19,16.8,20,61
LANCDH11558.109,FSC19,20.08,18.05,11.8,20,58
LANCDH11558.109,WVA19,6.96,19.16,10.63,10,53
LANCDH11558.109,WVA19,3.12,17.19,10.38,10,55
LES.167851,FSC19,18.92,12.62,6.4,20,54
LES.167851,WVA19,3.52,12.38,7.67,10,39
LES.167851,WVA19,1.96,10.08,4.17,10,35
LES.172093,FSC19,6.8,7.92,2.59,5,56
LES.172093,FSC19,4.76,4.06,2.1,5,43
LES.172093,WVA19,4.04,17.11,7.73,5,52
LES.172093,WVA19,3.96,12.4,5.9,5,45
LES.70022,FSC19,9.52,12.78,5.5,10,43
LES.70022,FSC19,7.4,7.74,2.4,5,34
LES.70022,WVA19,3.32,16.15,4.59,0,28
LES.70022,WVA19,1.4,17.63,3.63,5,43
NC11331.L38,FSC19,8.52,5.38,4.2,5,60
NC11331.L38,WVA19,5.96,17.82,13.41,15,66
NC11331.L38,WVA19,4.16,13.04,5.69,0,50
NC11363.25,FSC20,NA,NA,7.27,10,40
NC11363.25,FSC20,NA,NA,0.7,10,50
NC11363.25,FSC20,NA,NA,2.7,5,42
NC11363.25,FSC20,NA,NA,NA,10,43
NC11363.25,WLA20,NA,6.83,5.337361531,5,65
NC11363.25,WLA20,NA,5.38,2.297702298,5,62
NC11546.14,FSC19,8.48,4.65,3.5,5,44
NC11546.14,FSC19,8.48,11.04,4.5,10,59
NC11546.14,FSC19,6.36,8.2,5.3,20,58
NC11546.14,FSC19,4.36,4.97,2.1,5,43
NC11546.14,FSC20,NA,NA,3.8,10,51
NC11546.14,FSC20,NA,NA,5.19,5,42
NC11546.14,FSC20,NA,NA,1.8,5,45
NC11546.14,FSC20,NA,NA,NA,5,38
NC11546.14,WLA20,NA,7.33,3.209628887,5,58
NC11546.14,WLA20,NA,7.66,5.5,1,48
NC11546.14,WVA19,2.16,11.42,6.56,5,51
NC11546.14,WVA19,1.2,13.07,5.96,15,51
NC12093.146,FSC19,12.88,24.91,5.7,20,55
NC12093.146,FSC19,9.08,13.63,6.3,15,45
NC12164.192T,FSC19,5.72,9.44,6.8,10,42
NC12164.198T,FSC19,19.56,24.91,9,15,56
NC12164.198T,FSC19,19.32,19.29,11.4,20,45
NC12164.200T,FSC19,13.72,21.35,5.6,10,46
NC12164.200T,FSC19,8.04,11.82,5.5,10,31
NC12164.200T,FSC20,NA,NA,NA,5,23
NC12164.200T,WLA20,NA,6.05,7.592407592,10,45
NC12164.200T,WLA20,NA,5.81,5.4,10,50
NC12164.217T,FSC19,18.4,27.32,9.5,20,46
NC12164.217T,FSC19,18.36,28.54,11,20,55
NC12164.22T,FSC19,18.04,20,9.1,15,49
NC12164.22T,FSC19,8.16,16.95,5.5,15,64
NC12164.25T,FSC19,17.84,18.99,5.8,25,61
NC12164.25T,FSC19,11.24,22.25,8.17,15,67
NC12164.25T,FSC19,6.84,18.61,7.2,5,21
NC12164.25T,FSC19,3.24,7.75,3.4,5,48
NC12164.25T,WVA19,10.88,37.96,32.43,35,64
NC12164.25T,WVA19,5.68,21.91,16.47,30,37
NC12164.94,FSC20,NA,NA,1.68,15,35
NC12164.94,FSC20,NA,NA,4.9,5,35
NC12164.94T,FSC19,13.16,19.51,6.6,15,36
NC12164.94T,FSC19,12.88,27.84,3.6,15,60
NC12164.97T,FSC19,18.04,26.03,10.6,15,48
NC12164.97T,FSC19,15.48,15.97,6,15,53
NC12164.97T,FSC20,NA,NA,NA,15,28
NC12164.97T,WLA20,NA,5.64,5.616850552,5,55
NC12164.97T,WLA20,NA,4.92,4.695304695,5,51
NC12193.49,FSC19,15.96,11.63,4.3,5,40
NC12193.49,FSC19,5.12,9.23,2.2,5,61
NC12193.49,FSC20,NA,4.12,1.79,5,33
NC12193.49,FSC20,NA,NA,3.25,5,41
NC12193.49,FSC20,NA,NA,NA,15,26
NC12193.49,WLA20,NA,5.25,3.907815631,5,61
NC12193.49,WLA20,NA,2.71,3.9,1,51
NC12642.38,FSC19,26.6,27.33,11.5,20,64
NC12642.38,FSC19,3.72,18.56,2.2,5,22
NC12642.81,FSC19,13.44,18.2,8,15,42
NC12642.81,FSC19,12.92,8.5,5.6,5,47
NC12642.81,FSC19,7.72,4.78,3.8,15,46
NC12642.81,FSC20,NA,6.45,4.87,10,41
NC12642.81,FSC20,NA,NA,3.8,10,43
NC12642.81,FSC20,NA,NA,1.3,5,42
NC12642.81,WLA20,NA,10.64,10.01001001,15,54
NC12642.81,WLA20,NA,8.47,10.72144289,10,56
NC12642.81,WVA19,2.92,12.21,6.92,5,43
NC12642.81,WVA19,1.84,13.23,5.78,0,48
NC12642.97T,FSC19,11.08,13.67,6.6,15,64
NC12642.97T,FSC19,0.52,0.55,1.6,0,19
NC12753.139,FSC19,34.76,25.57,18.2,25,67
NC12753.139,FSC19,32.88,32.5,24.63,30,NA
NC12753.139,FSC19,14.2,27.24,10.5,15,43
NC12753.139,FSC19,7.84,8.24,4.4,10,33
NC12753.139,WVA19,8.68,19.2,20.9,25,59
NC12753.139,WVA19,2.48,15.68,12.38,10,56
NC13202.128,FSC20,NA,NA,NA,5,37
NC13202.128,WLA20,NA,5.45,8.43373494,15,55
NC13206.360,FSC20,NA,NA,NA,0,37
NC13206.360,WLA20,NA,2.94,5.110220441,5,45
NC13206.40,FSC20,NA,NA,1.7,10,44
NC13206.40,WLA20,NA,5.36,6.106106106,5,54
NC14.23372,FSC19,21.2,22.97,11.9,15,50
NC14.23372,FSC19,14.52,11.98,16.6,10,45
NC14.23372,FSC19,11.56,12.55,9.9,20,74
NC14.23372,WVA19,7.36,14.65,10.13,10,59
NC14.23372,WVA19,1.68,17.58,9.23,15,61
NC15.21787,FSC19,31.84,26.33,8.2,30,81
NC15.21787,FSC19,25.72,26.81,5.9,20,63
NC15.21834,FSC19,12.44,12.5,4.3,5,61
NC15.21834,FSC19,11.92,14.39,2.5,5,60
NC15.21834,FSC19,10.48,15.52,4.1,15,52
NC15.21834,FSC19,9.48,7.17,6.63,10,57
NC15.21834,FSC19,8.72,3.99,3.39,5,72
NC15.21834,FSC20,NA,NA,5.41,5,58
NC15.21834,FSC20,NA,NA,8.45,NA,56
NC15.21834,FSC20,NA,3.68,NA,30,55
NC15.21834,WVA19,8.12,30.3,17.95,25,70
NC15.21834,WVA19,8.04,24.93,19.28,25,57
NC15.21835,FSC19,13.28,6.66,3.9,5,56
NC15.21835,FSC19,13.16,8.74,2.8,10,71
NC15.21835,FSC19,13,7.66,5,10,50
NC15.21835,FSC19,10.72,12.87,7.1,10,55
NC15.21835,FSC20,NA,11.02,1.2,5,57
NC15.21835,FSC20,NA,NA,3.31,30,52
NC15.21835,FSC20,NA,NA,NA,30,53
NC15.21835,FSC20,NA,NA,NA,20,38
NC15.21835,FSC20,NA,NA,NA,15,63
NC15.21835,WLA20,NA,3.4,1.798201798,1,59
NC15.21835,WLA20,NA,2.76,1.898101898,1,53
NC15.21835,WVA19,6.44,13.92,9.62,10,50
NC15.21835,WVA19,3.4,16.91,11,20,55
NC15.21836,FSC19,19.92,16.94,5.1,10,68
NC15.21836,FSC19,18.48,18.08,8.57,20,75
NC15.21836,FSC19,10.72,11.08,3.4,5,47
NC15.21836,FSC19,8.48,6.35,3.7,5,53
NC15.21836,WVA19,6,16.53,10.4,10,44
NC15.21836,WVA19,4.6,30.66,16.67,15,61
NC15.21877,FSC19,18.36,22.73,10.1,20,75
NC15.21877,FSC19,12.36,15.36,5.4,10,64
NC15.21970,FSC20,NA,NA,3,5,36
NC15.21970,WLA20,NA,4.99,5.811623246,5,52
NC15.21970,WLA20,NA,3.27,4.895104895,1,47
NC15V13.26,FSC20,NA,NA,NA,5,36
NC15V13.26,WLA20,NA,6.05,4.028197382,5,53
NC15V15.04,FSC20,NA,NA,3,5,30
NC15V15.04,WLA20,NA,6.08,4.008016032,10,44
NC15V25.20,FSC20,NA,NA,NA,25,34
NC15V25.20,WLA20,NA,4.53,7.135678392,5,48
NC15V26.11,FSC20,NA,NA,6,10,37
NC15V26.11,WLA20,NA,7.07,7.984031936,5,57
NC15V26.19,FSC20,NA,10.67,NA,10,42
NC15V26.19,WLA20,NA,5.37,7,10,41
NC15V31.05,FSC20,NA,NA,1.5,0,15
NC15V31.05,WLA20,NA,3.59,4.929577465,5,38
NC15V39.02,FSC20,NA,NA,NA,10,38
NC15V39.02,WLA20,NA,5.68,15.9,20,62
NC15V41.13,FSC20,NA,0,NA,15,38
NC15V41.13,WLA20,NA,4.06,3.4,5,33
NC16.18146,FSC20,NA,NA,NA,10,26
NC16.18146,WLA20,NA,3.38,2.713567839,1,41
NC16.19349,FSC20,NA,NA,NA,10,50
NC16.19349,WLA20,NA,3.07,1.504513541,5,47
NC16.19449,FSC19,39.16,45.87,28.6,30,74
NC16.19449,FSC19,8.48,19.06,4.4,10,49
NC16.19449,FSC20,NA,NA,4.9,15,41
NC16.19449,FSC20,NA,NA,2.44,10,42
NC16.19449,FSC20,NA,NA,NA,15,34
NC16.19449,WLA20,NA,8.12,11.31131131,20,74
NC16.19449,WLA20,NA,11.75,10.23069208,25,69
NC17.20510,FSC20,NA,NA,NA,5,46
NC17.20510,WLA20,NA,3.78,3.803803804,5,50
NC17.20511,FSC20,NA,NA,NA,20,39
NC17.20511,WLA20,NA,5.38,5.205205205,5,48
P26R41,FSC19,30.68,32.78,9.4,20,68
P26R41,FSC19,27.28,23.82,5.6,10,81
P26R41,FSC19,23.6,16.98,10.5,20,69
P26R41,FSC19,15.68,13.77,7.7,15,55
P26R41,FSC20,NA,NA,2.3,45,56
P26R41,FSC20,NA,NA,NA,55,68
P26R41,FSC20,NA,NA,NA,25,55
P26R41,FSC20,NA,NA,NA,15,52
P26R41,WLA20,NA,5.86,5.005005005,10,76
P26R41,WLA20,NA,4.06,5.1,5,71
P26R41,WLA20,NA,5.64,3.503503504,1,68
P26R41,WLA20,NA,6.14,3.212851406,1,62
SAVOY,FSC19,36.36,45.97,42.1,45,51
SAVOY,FSC20,NA,NA,NA,10,NA
SAVOY,WLA20,NA,24.07,18.83767535,40,43
SS8641,FSC19,68.88,76.32,38.4,70,95
SS8641,FSC19,55.48,68.91,41,75,73
SS8641,FSC19,49.16,68.97,39.4,65,70
SS8641,FSC19,20.64,28.92,6.4,15,69
SS8641,FSC20,NA,18.05,1,25,39
SS8641,FSC20,NA,NA,18.11,25,45
SS8641,FSC20,NA,0.9,NA,15,37
SS8641,FSC20,NA,NA,22.4,20,38
SS8641,WLA20,NA,26.64,29.84924623,80,57
SS8641,WLA20,NA,29.1,28.27172827,65,53
SS8641,WLA20,NA,38.78,46.48594378,80,58
SS8641,WVA19,30.2,55.79,43.71,60,76
SS8641,WVA19,13.48,66.17,59.18,65,86
TX15D9253,FSC20,NA,NA,24.3,15,56
TX15D9579,FSC20,NA,1.45,NA,55,57
TX15D9597,FSC20,NA,NA,30,65,59
TX15DDH018,FSC19,17,30.87,7.5,20,55
TX15DDH018,FSC19,10.64,19.53,7.1,10,65
TX15DDH024,FSC19,12.32,23.06,5,15,44
TX15DDH024,FSC19,9,24.74,6.3,10,29
