taxa,Env,DON_ppm,Vibe,Manual,Visual,NIR
AR11029.14.3,FSC19,5.2,4.81,1.9,5,47
AR11033.6.3,FSC19,25.72,38.22,4.5,15,60
AR11033.6.3,FSC19,17.04,27.47,6.1,20,53
AR11051.14.1,FSC19,25.08,36.12,12,35,53
AR11051.14.1,FSC19,21.44,43.35,5.9,20,68
AR11051.14.1,FSC20,NA,NA,NA,5,44
AR11051.14.1,WLA20,NA,9.67,50,15,69
AR11051.14.1,WLA20,NA,9.89,14.1,5,62
AR11051.15.3,FSC20,NA,NA,7.9,15,34
AR11051.15.3,WLA20,NA,7.43,8.508508509,10,59
AR11051.15.3,WLA20,NA,5.13,6.006006006,10,58
AR11130.3.4,FSC19,14.64,19,5,10,42
AR11178.14.3,FSC19,25.2,35.09,8.7,25,65
AR11178.14.3,FSC19,17.52,25.21,9,20,38
AR11255.10.3,FSC19,38.88,28.5,7.6,25,70
AR11255.10.3,FSC19,28.92,19.16,10.9,15,41
AR11255.10.3,FSC19,28.72,30.67,12.3,20,51
AR11255.10.3,FSC19,11.6,8.17,5.4,10,34
AR11255.10.3,WVA19,18.4,34.04,30.15,35,64
AR11255.10.3,WVA19,7.48,28.11,25.57,30,69
AR11289.8.1,FSC19,9.68,6.23,3.8,5,32
AR11289.8.1,FSC19,5.84,4.93,1.7,5,45
AR11289.8.1,FSC20,NA,NA,NA,5,27
AR11289.8.1,WLA20,NA,3.02,4.518072289,5,44
AR11289.8.1,WLA20,NA,2.2,1.503006012,1,49
AR11289.8.1,WVA19,8.28,14.34,8.48,10,37
AR11289.8.1,WVA19,6.52,12.08,3.48,5,24
AR11289.8.3,FSC19,24.56,29.44,11.6,40,54
AR11289.8.3,FSC19,5.16,7.12,1.6,5,34
AR12002.0024N,FSC20,NA,8.74,3.6,5,33
AR12002.0024N,FSC20,NA,NA,8.61,5,34
AR12002.0024N,FSC20,NA,NA,7.3,5,37
AR12002.0024N,WLA20,NA,9.74,6.906906907,5,34
AR12080DH.113,FSC20,NA,NA,NA,10,29
AR12080DH.113,WLA20,NA,12.27,9.209209209,10,66
AR12080DH.113,WLA20,NA,9.95,9.70970971,5,71
AR12080DH.56,FSC20,NA,NA,6,NA,22
AR12080DH.56,WLA20,NA,3.93,7.723169509,5,47
AR12080DH.56,WLA20,NA,4.21,7.192807193,5,56
AR12486.2417N,FSC20,NA,2.88,0.49,5,37
AR12486.2417N,FSC20,NA,4.77,1,5,28
AR12486.2417N,FSC20,NA,NA,1.9,30,35
AR12486.2417N,WLA20,NA,6.5,8.116232465,10,58
AR12486.2419N,FSC20,NA,3.93,0.4,5,34
AR12486.2419N,FSC20,NA,NA,1.4,5,39
AR12486.2419N,FSC20,NA,NA,3.2,10,49
AR12486.2419N,WLA20,NA,4.89,9.62888666,10,52
AR12486.2420N,FSC20,NA,NA,2.1,5,36
AR12486.2420N,FSC20,NA,NA,2.39,5,32
AR12486.2420N,FSC20,NA,4.65,NA,5,34
AR12486.2420N,WLA20,NA,6.18,8.708708709,10,56
AR12486.2422N,FSC20,NA,NA,5.6,5,36
AR12486.2422N,WLA20,NA,5.75,8.308308308,10,62
AR12486.2427N,FSC20,NA,NA,NA,5,43
AR12486.2427N,WLA20,NA,5.39,6.2,10,56
AR12ID071.11.4,FSC19,24.52,28.91,7.4,20,56
AR12ID071.11.4,FSC19,10.56,19.13,5.2,15,79
AR12ID071.12.2,FSC19,30.64,41.8,12.8,25,82
AR12ID071.12.2,FSC19,16.96,21.17,6.9,15,49
AR15V07.15.1804N,FSC20,NA,0,NA,5,44
AR15V07.15.1804N,WLA20,NA,9.41,15.34603811,25,67
AR15V21.09.2089N,FSC20,NA,4.87,1.44,15,28
AR15V21.09.2089N,FSC20,NA,3.41,1,10,35
AR15V21.09.2089N,FSC20,NA,NA,NA,5,21
AR15V21.09.2089N,WLA20,NA,8.21,13.9,15,53
AR15V25.19.2174N,FSC20,NA,NA,1.2,5,32
AR15V25.19.2174N,WLA20,NA,4.11,9.4,10,43
AR15V26.10.2188N,FSC20,NA,NA,NA,5,42
AR15V26.10.2188N,WLA20,NA,6.13,4.904904905,1,44
AR15V31.26.2285N,FSC20,NA,4.43,1.6,5,46
AR15V31.26.2285N,FSC20,NA,NA,2.19,10,36
AR15V31.26.2285N,FSC20,NA,NA,2,5,39
AR15V31.26.2285N,WLA20,NA,4.81,6.312625251,5,49
AR15V33.07.2305N,FSC20,NA,NA,NA,10,40
AR15V33.07.2305N,WLA20,NA,13.45,9.59040959,5,55
AR15V41.10.2443N,FSC20,NA,5.39,1.49,15,46
AR15V41.10.2443N,FSC20,NA,NA,3.32,20,45
AR15V41.10.2443N,FSC20,NA,NA,2.1,5,43
AR15V41.10.2443N,WLA20,NA,1.94,2.805611222,5,50
ARDH13216.12,FSC19,25.28,27.72,12.7,25,55
ARDH13216.12,FSC20,NA,NA,NA,10,37
ARDH13216.12,WLA20,NA,6.51,6.806806807,15,59
ARDH13216.12,WLA20,NA,5.3,6.012024048,5,64
ARDH14002.22.0260N,FSC20,NA,0,NA,20,27
ARDH14002.22.0260N,WLA20,NA,2.25,2.202202202,1,42
ARFHBDH1.133,FSC19,26.44,30.07,7,20,66
ARFHBDH1.133,FSC19,18.68,22.28,8.1,20,38
ARFHBDH1.81,FSC19,21,26.62,9.1,25,43
ARFHBDH1.81,FSC19,20.08,29.14,5.7,15,60
ARFHBDH2.72,FSC19,3.2,4.87,2.4,10,53
ARFHBDH2.72,FSC19,0.8,2.24,0.9,0,39
ARFHBDH2.72,WVA19,3.96,16.05,10.82,20,56
ARFHBDH2.72,WVA19,0.84,10.08,4.87,5,59
ARFHBDH2.75,FSC19,11.48,25.47,5.4,20,54
ARFHBDH2.75,FSC19,9.28,18.41,5.1,15,47
ARFHBDH2.75,WVA19,4.32,23.6,15.58,15,47
ARFHBDH2.75,WVA19,4.2,17.22,11.08,15,47
ARGA09485.10.1,FSC19,24.64,24.21,11.4,20,49
ARGA09485.10.1,FSC19,8.76,9.5,3.1,15,61
ARGA09485.10.1,WVA19,19.76,28.03,30.25,45,55
ARGA09485.10.1,WVA19,9.44,38.18,31.62,50,71
ARLA06146E.1.4,FSC19,11.12,11.95,3.1,5,44
ARLA06146E.1.4,FSC19,8.52,10.68,5.4,5,45
ARLA06146E.1.4,FSC20,NA,6.06,NA,5,39
ARLA07133C.19.4,FSC19,19.52,15.44,5.8,10,65
ARLA09179UC.1.1,FSC19,29.8,26.22,34,20,50
ARLA09179UC.1.1,FSC19,20.88,17.35,11.9,20,47
ARLA09179UC.1.1,WVA19,5.48,10.45,10.73,5,38
ARLA09179UC.1.1,WVA19,2.96,15.79,9.93,15,36
ARLA12080DH.113,FSC19,25.16,31.77,9.7,30,65
ARLA12080DH.113,FSC19,6.72,18.59,4.5,10,27
ARLA12080DH.56,FSC19,11.48,18.1,5.3,15,59
ARLA12080DH.56,FSC19,8.36,21.94,8.3,10,28
ARLA12275DH.56,FSC19,11.6,17.19,10.4,15,38
ARNC11359.25,FSC19,4.64,4.46,1.9,5,34
ARNC11363.25,FSC19,16.24,21.62,10.3,15,53
ARNCDH12753.103.1536M,FSC20,NA,3.27,1.68,15,51
ARNCDH12753.103.1536M,FSC20,NA,NA,7.75,20,55
ARNCDH12753.103.1536M,FSC20,NA,NA,NA,15,44
ARNCDH12753.103.1536M,WLA20,NA,3.76,2.8,5,41
